time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2010-06-11 09:30:00-04:00,DiversifiedLeverage,f6a7efe2b218435b90928587d0a04d0c,UPRO,sell,market,fill,1,gtc,0.0,1,stock,1.8227779865264893,191.0,1.7407529771327972
2010-06-11 09:30:00-04:00,DiversifiedLeverage,7b957d3229f04429a70eb3e63090a22d,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.322082996368408,85.0,1.4118852734565734
2010-06-11 09:30:00-04:00,DiversifiedLeverage,92baf54bacd9421a8c6981f9b2df8908,TMF,buy,market,fill,1,gtc,0.0,1,stock,99.17500305175781,5.0,2.4793750762939455
2010-06-11 09:30:00-04:00,DiversifiedLeverage,84537183033148bf887c84e53f111096,UGL,sell,market,fill,1,gtc,0.0,1,stock,54.29999923706055,2.0,0.5429999923706055
2010-06-11 09:30:00-04:00,DiversifiedLeverage,595dd00013f44dd9af79ebc21960f8a7,DIG,sell,market,fill,1,gtc,0.0,1,stock,36.26250076293945,21.0,3.807562580108643
2010-06-17 09:30:00-04:00,DiversifiedLeverage,1110fee11e934067ba13c8261c56e4b6,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-17 09:30:00-04:00,DiversifiedLeverage,dcff44445b824756a54e7cc51a7b1b94,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-17 09:30:00-04:00,DiversifiedLeverage,149ccf92e23546be9f4e9a3a3560922b,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-17 09:30:00-04:00,DiversifiedLeverage,83624a1c89614ce8b60d33ba96481fb5,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-17 09:30:00-04:00,DiversifiedLeverage,806a6ad1a4a14452838f8d712d9efe40,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-17 09:30:00-04:00,DiversifiedLeverage,f6cb19795176411995dd2b925781fbec,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-17 09:30:00-04:00,DiversifiedLeverage,1110fee11e934067ba13c8261c56e4b6,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.5168229937553406,3609.0,9.326070922315122
2010-06-17 09:30:00-04:00,DiversifiedLeverage,dcff44445b824756a54e7cc51a7b1b94,UPRO,sell,market,fill,1,gtc,0.0,1,stock,2.034306049346924,318.0,3.234546618461609
2010-06-17 09:30:00-04:00,DiversifiedLeverage,149ccf92e23546be9f4e9a3a3560922b,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.680000066757202,66.0,1.2144000220298767
2010-06-17 09:30:00-04:00,DiversifiedLeverage,83624a1c89614ce8b60d33ba96481fb5,TMF,buy,market,fill,1,gtc,0.0,1,stock,98.9749984741211,21.0,10.392374839782715
2010-06-17 09:30:00-04:00,DiversifiedLeverage,806a6ad1a4a14452838f8d712d9efe40,UGL,buy,market,fill,1,gtc,0.0,1,stock,55.91999816894531,10.0,2.7959999084472655
2010-06-17 09:30:00-04:00,DiversifiedLeverage,f6cb19795176411995dd2b925781fbec,DIG,buy,market,fill,1,gtc,0.0,1,stock,38.962501525878906,3.0,0.5844375228881836
2010-06-23 09:30:00-04:00,DiversifiedLeverage,58207fcb1b63456e813a2594480465f5,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-23 09:30:00-04:00,DiversifiedLeverage,b45dbcb17ead4c48a6110be655a3893f,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-23 09:30:00-04:00,DiversifiedLeverage,53b839d97cbf4004b35d57ef0b5398e7,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-23 09:30:00-04:00,DiversifiedLeverage,8fd1100551c84eea95114894fb92d9f7,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-23 09:30:00-04:00,DiversifiedLeverage,8dc690f06ed24e5dba35585ea59038ef,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-23 09:30:00-04:00,DiversifiedLeverage,a01f9a8a37974e11ad23e2abf7869f4e,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-23 09:30:00-04:00,DiversifiedLeverage,58207fcb1b63456e813a2594480465f5,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.49177101254463196,1009.0,2.480984758287668
2010-06-23 09:30:00-04:00,DiversifiedLeverage,b45dbcb17ead4c48a6110be655a3893f,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.9166669845581055,362.0,3.469167242050171
2010-06-23 09:30:00-04:00,DiversifiedLeverage,53b839d97cbf4004b35d57ef0b5398e7,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.529582977294922,47.0,0.8294519996643066
2010-06-23 09:30:00-04:00,DiversifiedLeverage,8fd1100551c84eea95114894fb92d9f7,TMF,sell,market,fill,1,gtc,0.0,1,stock,102.9000015258789,17.0,8.746500129699708
2010-06-23 09:30:00-04:00,DiversifiedLeverage,8dc690f06ed24e5dba35585ea59038ef,UGL,sell,market,fill,1,gtc,0.0,1,stock,55.20000076293945,3.0,0.8280000114440919
2010-06-23 09:30:00-04:00,DiversifiedLeverage,a01f9a8a37974e11ad23e2abf7869f4e,DIG,buy,market,fill,1,gtc,0.0,1,stock,36.849998474121094,12.0,2.2109999084472656
2010-06-29 09:30:00-04:00,DiversifiedLeverage,8589e6d28f414103947108d3222d876d,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,605d804f93ca4754b2e9bcd60a58cf4d,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,c1912062e17f4aaf9ed0f75eb4583e33,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,f2f7724b78e34bfd9855c44c39c65d1b,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,c95434351788465db277551bd453bdf1,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,eac9201436484964ac6bffb7d5574240,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,8589e6d28f414103947108d3222d876d,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.4341149926185608,3082.0,6.689712036252022
2010-06-29 09:30:00-04:00,DiversifiedLeverage,605d804f93ca4754b2e9bcd60a58cf4d,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.7302780151367188,534.0,4.619842300415039
2010-06-29 09:30:00-04:00,DiversifiedLeverage,c1912062e17f4aaf9ed0f75eb4583e33,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.2445828914642334,90.0,1.4600623011589051
2010-06-29 09:30:00-04:00,DiversifiedLeverage,f2f7724b78e34bfd9855c44c39c65d1b,TMF,sell,market,fill,1,gtc,0.0,1,stock,108.4749984741211,25.0,13.559374809265137
2010-06-29 09:30:00-04:00,DiversifiedLeverage,c95434351788465db277551bd453bdf1,UGL,sell,market,fill,1,gtc,0.0,1,stock,55.290000915527344,10.0,2.764500045776367
2010-06-29 09:30:00-04:00,DiversifiedLeverage,eac9201436484964ac6bffb7d5574240,DIG,buy,market,fill,1,gtc,0.0,1,stock,33.099998474121094,23.0,3.8064998245239257
2010-07-06 09:30:00-04:00,DiversifiedLeverage,21e3d7ceb54e40919af02f6c001e33d3,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,728a3429efcf468797cb279941db3673,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,739fa972f22e4f18a76d2846fe527e4c,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,44531cef240d48cc9194f76dcd298730,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,37ad465bcdc94a61b494bbb619f94034,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,56a344615f4243e385d705fcae9cb031,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,21e3d7ceb54e40919af02f6c001e33d3,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.39333298802375793,2484.0,4.885195711255074
2010-07-06 09:30:00-04:00,DiversifiedLeverage,728a3429efcf468797cb279941db3673,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.608610987663269,319.0,2.565734525322914
2010-07-06 09:30:00-04:00,DiversifiedLeverage,739fa972f22e4f18a76d2846fe527e4c,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.0250000953674316,76.0,1.1495000362396242
2010-07-06 09:30:00-04:00,DiversifiedLeverage,44531cef240d48cc9194f76dcd298730,TMF,sell,market,fill,1,gtc,0.0,1,stock,111.30000305175781,16.0,8.904000244140626
2010-07-06 09:30:00-04:00,DiversifiedLeverage,37ad465bcdc94a61b494bbb619f94034,UGL,buy,market,fill,1,gtc,0.0,1,stock,52.099998474121094,3.0,0.7814999771118164
2010-07-06 09:30:00-04:00,DiversifiedLeverage,56a344615f4243e385d705fcae9cb031,DIG,sell,market,fill,1,gtc,0.0,1,stock,32.0,5.0,0.8
2010-07-12 09:30:00-04:00,DiversifiedLeverage,0761d98772f242c4aca209a2b3add1eb,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,cf227e2ace7442b9bbb8413d2987b8cd,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,d30a3809b2714c0da4fc147df6c3c8dc,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,dae5e2aaab8e4f38a1438bf6360b27da,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,70b6581484584f8b935a0f8f05a84be3,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,d469bb9ba12c40d09b2fcec9717ce49e,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,0761d98772f242c4aca209a2b3add1eb,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.4341149926185608,2119.0,4.599448346793651
2010-07-12 09:30:00-04:00,DiversifiedLeverage,cf227e2ace7442b9bbb8413d2987b8cd,UPRO,sell,market,fill,1,gtc,0.0,1,stock,1.7940280437469482,634.0,5.687068898677826
2010-07-12 09:30:00-04:00,DiversifiedLeverage,d30a3809b2714c0da4fc147df6c3c8dc,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.384166955947876,178.0,3.0119085907936096
2010-07-12 09:30:00-04:00,DiversifiedLeverage,dae5e2aaab8e4f38a1438bf6360b27da,TMF,buy,market,fill,1,gtc,0.0,1,stock,105.82499694824219,23.0,12.169874649047852
2010-07-12 09:30:00-04:00,DiversifiedLeverage,70b6581484584f8b935a0f8f05a84be3,UGL,buy,market,fill,1,gtc,0.0,1,stock,52.220001220703125,9.0,2.349900054931641
2010-07-12 09:30:00-04:00,DiversifiedLeverage,d469bb9ba12c40d09b2fcec9717ce49e,DIG,sell,market,fill,1,gtc,0.0,1,stock,34.400001525878906,8.0,1.3760000610351564
2010-07-16 09:30:00-04:00,DiversifiedLeverage,d9efc8aef5294f65874b33cff66314f3,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,4156c1fa219d4e4c8e907d5baf226056,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,3ac846da939c4e969607590acf057956,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,753ed92368584db28b2f99e9536d99e9,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,0d630e51dec34dd0aff24f4f6aa41e5b,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
