time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-03-03 09:30:00-05:00,StockBracket,365e3d6996984450bac7a676d2d12b46,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-03 09:30:00-05:00,StockBracket,365e3d6996984450bac7a676d2d12b46,SPY,buy,market,fill,1,gtc,0.0,1,stock,399.7099914550781,10.0,0.0
2023-03-06 08:30:00-05:00,StockBracket,b01524a7f9ab47528cdaf95dee19a047,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-03-06 08:30:00-05:00,StockBracket,786f100be9d54972844b44180adee02e,SPY,sell,limit,fill,1,day,0.0,1,stock,405.04998779296875,10.0,0.0
