time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-03-03 09:30:00-05:00,StockOco,7ac10c7c9b9a4224abac0a2560aee202,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-03 09:30:00-05:00,StockOco,41cffdcd610a4cb4940a93c29c3b2ba3,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2023-03-03 09:30:00-05:00,StockOco,7ac10c7c9b9a4224abac0a2560aee202,SPY,buy,market,fill,1,gtc,0.0,1,stock,399.7099914550781,10.0,0.0
2023-03-06 08:30:00-05:00,StockOco,1ba0fb38a21244ca96f8f88c933a5cf8,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-03-06 08:30:00-05:00,StockOco,1b00665a1c9246539004357d7bece553,SPY,sell,limit,fill,1,day,0.0,1,stock,405.04998779296875,10.0,0.0
