time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-03-03 09:30:00-05:00,LimitAndTrailingStop,1a2a7b98f8da45ccb573941315e1cfe7,SPY,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-03-03 09:30:00-05:00,LimitAndTrailingStop,05657d68b40c4132b5461ea8b0538d08,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2023-03-03 09:30:00-05:00,LimitAndTrailingStop,648487153b484569a9f661ff7b8ac7fd,SPY,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2023-03-03 09:30:00-05:00,LimitAndTrailingStop,772246ccd4514a178097856bc69583a8,SPY,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2023-03-03 09:30:00-05:00,LimitAndTrailingStop,1a2a7b98f8da45ccb573941315e1cfe7,SPY,buy,limit,fill,1,gtc,0.0,1,stock,399.7099914550781,100.0,0.0
2023-03-06 08:30:00-05:00,LimitAndTrailingStop,05657d68b40c4132b5461ea8b0538d08,SPY,sell,limit,fill,1,gtc,0.0,1,stock,407.0,100.0,0.0
2023-03-07 09:30:00-05:00,LimitAndTrailingStop,648487153b484569a9f661ff7b8ac7fd,SPY,sell,trailing_stop,fill,1,gtc,0.0,1,stock,399.30101196289064,100.0,0.0
2023-03-07 09:30:00-05:00,LimitAndTrailingStop,772246ccd4514a178097856bc69583a8,SPY,sell,trailing_stop,fill,1,gtc,0.0,1,stock,400.45001220703125,50.0,0.0
